"","V1","V2","V3","lat","lon"
"12289","SCORE Association","Business Intelligence, Data and Reports Developer/Analyst","Herndon, VA",38.983887,-77.367457
"12290","George Mason University","Research Assistant Professor/Research Associate Professor, N...","Fairfax, VA",38.83469,-77.27622
"12291","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12292","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12293","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12294","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12295","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"12296","RadiantBlue Technologies, Inc.","Systems Analyst I","Chantilly, VA",38.88668,-77.44566
"12297","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"12298","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"12299","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"12300","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"12301","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12302","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12303","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12304","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"12305","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12306","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"12307","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12308","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"12309","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12310","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
"12311","Dept of Behavioral Health & Developmental Sv","Center of Excellence Program Coordinator","Richmond, VA",37.626617,-77.492834
"12312","General Dynamics - Information Technology","Network Analyst/Systems Administrator II - TS/SCI - Ft. Belv...","Fort Belvoir, VA",38.714562,-77.167886
"12313","Salient CRGT","Data Warehouse Analyst/Tester","Fairfax, VA",38.83469,-77.27622
"12314","CGI","Data Scientist/ Analyst / Statistician","Fairfax, VA",38.83469,-77.27622
"12315","PenFed Credit Union","Research Analyst I","Alexandria, VA",38.80484,-77.04692
"12316","Lidl","Purchasing Analyst","Arlington, VA",37.283482,-77.294978
"12317","AHC Inc. of Arlington, VA","Digital Data Specialist","Arlington, VA",37.283482,-77.294978
"12318","ProActive Technologies Inc.","Data Entry Operator II","Quantico, VA",38.52602,-77.322803
"12319","Goldbelt, Inc.","DATA ENTRY OPERATOR II","Newport News, VA",37.058296,-76.463471
"12320","Grant Thornton","Health Systems Analyst","Alexandria, VA  ",38.80484,-77.04692
"12321","McGuireWoods LLP","Technical Operations Center Analyst","Richmond, VA",37.626617,-77.492834
"12322","Capital One","Data Warehouse and Reporting Technical Specialist","Richmond, VA",37.626617,-77.492834
"12323","ALQIMI","Systems/Software Analyst I","Springfield, VA",38.704562,-78.446119
"12324","Booz Allen Hamilton","Video / Voice / Data Business Lead","Herndon, VA",38.983887,-77.367457
"12325","Booz Allen Hamilton","Business Systems Analyst, Junior","Herndon, VA",38.983887,-77.367457
